Item ID,Item Name,Category,Brand,Pack Size
1116,Sweeto Bear ,Confectionery,Sweeto,12x80g
1117,Sweeto Tangy ,Confectionery,Sweeto,12x80g
1118,Sweeto Grape ,Confectionery,Sweeto,12x80g
1119,Sweeto Rainbow Belts (Extra Sour) ,Confectionery,Sweeto,12x80g
1120,Sweeto Cola ,Confectionery,Sweeto,12x80g
1121,Sweeto Marshmallow Cube ,Confectionery,Sweeto,12x140g
1122,Sweeto Marshmallow Pink&White ,Confectionery,Sweeto,12x140g
1123,Sweeto Marshmallow Watermelon ,Confectionery,Sweeto,12x140g
1124,Sweeto Marshmallow Roller ,Confectionery,Sweeto,12x140g
1125,Sweeto Marshmallow Heart ,Confectionery,Sweeto,12x140g
1126,Sweeto Marshmallow Twist ,Confectionery,Sweeto,12x140g
1127,Sweeto Marshmallow Flora ,Confectionery,Sweeto,12x140g
1128,Sweeto Marshmallow Unicorn ,Confectionery,Sweeto,12x140g
1129,Sweeto Marshmallow Strawberry ,Confectionery,Sweeto,12x140g
1130,Sweeto Marshmallow Twister ,Confectionery,Sweeto,36x4x20g
1131,Dawat Basmati Rice ,Rice,Dawat,20kg
1132,Dawat Basmati Rice ,Rice,Dawat,10kg
1133,Dawat Basmati Rice ,Rice,Dawat,5kg
1134,Mom Made Plain Paratha ,Frozen,Mom,20x4x400g
1135,Mom Made Spicy Paratha ,Frozen,Mom,20x4x400g
1136,Mom Made Methi Paratha ,Frozen,Mom,20x4x400g
1137,Mom Made Missi Roti ,Frozen,Mom,20x4x400g
